,Name,Category,Number of Followers,Account created Date,Number of Likes,TwitterHandle,Content,RetweetCount,Location
10515,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,167,https://twitter.com/jkbjournalist,"Terrific story that the Phila Inquirer and Daily News writes better than anyone, because Philly: ‘Cousin Mary’ Lyerly Alexander, 92, John Coltrane’s inspiration and ‘the mother of jazz in Philadelphia’ @questlove https://t.co/MntHYQHTre via @phillyinquirer",59,Miami Florida
10516,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,450,https://twitter.com/jkbjournalist,Thank you Molly. https://t.co/daWSBa8BDP,39,Miami Florida
10517,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,219,https://twitter.com/jkbjournalist,MUST READ: Miami Herald Special Investigative Report (done in partnership with the South China Morning Post) by @blaskey_s @nicknehamas @jayhweaver    https://t.co/qssOlZgk03,148,Miami Florida
10518,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,257,https://twitter.com/jkbjournalist,Lawyer Alan Dershowitz presents new book amid protests in Martha's Vineyard https://t.co/QBfMmLVjQ9 via @TheMVTimes,110,Miami Florida
10519,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,129,https://twitter.com/jkbjournalist,"This was the best thing I’ve seen all day. Omg. God bless Blasco. But truly folks, this is ridiculous. https://t.co/SFEVOBMZug",21,Miami Florida
10520,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,265,https://twitter.com/jkbjournalist,And PS even seniors who have no access to a computer should NOT have to wait like that in the heat. With or without an appointment. One woman was concerned because her husband couldn’t speak English and they refused to let her go inside with him to help him. Why?,30,Miami Florida
10521,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,196,https://twitter.com/jkbjournalist,I can assure you Betsy that no one at the PembroKe Pines center cared whether anyone had an appointment. They were ordering everyone to get to the back of the line. And that line was long with seniors sitting in the heat. https://t.co/CMX1h9Fqdt,30,Miami Florida
10522,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,728,https://twitter.com/jkbjournalist,I should add all our state senators and reps to this list. Forcing people to wait in the hot August sun for more than an hour (there were elderly people here) just to RENEW their drivers licenses is a disgrace.,143,Miami Florida
10523,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,1497,https://twitter.com/jkbjournalist,"Call It Prejudice but I highly doubt our senators, @SenRickScott or @marcorubio have to physically wait in line w all us little folks when their drivers licenses come up for renewal. If they did, there would be no lines. https://t.co/urxj4qBssO",340,Miami Florida
10524,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,186,https://twitter.com/jkbjournalist,Very excited to do this podcast with @GhostPanther @adamdavidson @lrmayer and to promote local journalism which is often the first line of defense against abuse of power. Please subscribe to your local newspaper and support investigative journalism and a free press. https://t.co/qfWdEXvcMZ,39,Miami Florida
10525,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,453,https://twitter.com/jkbjournalist,Trust me the online system told me I can’t renew online. Kind of defeats the purpose of even having an online system.,34,Miami Florida
10526,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,360,https://twitter.com/jkbjournalist,Ps. I called several state reps here in Broward to find out why people can’t renew online and I got voice mail.,55,Miami Florida
10527,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,1966,https://twitter.com/jkbjournalist,The line to renew a Florida drivers license in Broward County. Absolutely insane that People can’t renew online. And don’t tell me that you can... because Florida. This is the line every day. https://t.co/Xu1yiaSoWK,594,Miami Florida
10528,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,2469,https://twitter.com/jkbjournalist,The question remains: how did Epstein get these bogus deals in the first place? Follow the money...Albuquerque Journal https://t.co/bf5UeHIMg1,1038,Miami Florida
10529,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,90,https://twitter.com/jkbjournalist,"Follow the @MiamiHerald hurricane crew. There are no better experts than @harrisalexc @CMorganHerald and, for coverage of the devastation in the Bahamas, @Jacquiecharles https://t.co/74F2RJwlDM",33,Miami Florida
10530,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,354,https://twitter.com/jkbjournalist,"PLEASE DONATE: The Bahamas needs help following Hurricane Dorian. Here’s how you can donate
https://t.co/oTLm2eVO3F",288,Miami Florida
10531,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,75,https://twitter.com/jkbjournalist,"BREAKING: Death toll rises to at least 7 as majority of Abaco Islands ‘decimated’ by Hurricane Dorian
https://t.co/SqpUDL85FZ",56,Miami Florida
10532,julie k. brown,Pioneer,228956,2009-03-16 19:33:13+00:00,3425,https://twitter.com/jkbjournalist,"BREAKING: Lawsuit filed in prison beating in which Florida guards broke a female inmate's neck, leaving her a paralyzed from the neck down. Her lawyer says Florida DOC won't even let him take photographs of her injuries. https://t.co/VvZ1FTIoJG",2485,Miami Florida
